Train samples: 288
Val samples:   48
Test samples:  45
[Intermediate CrossAttention] Total params: 30,798,851 (~30.80M) | Trainable: 30,798,851 (~30.80M)
Initial fusion info: {'gamma': 0.0, 'attn_dim': 128.0, 'attn_heads': 4.0}
================================================================================
Experiment directory: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion/Model
Device: cuda:0
Epochs: 300, AMP: True, Accum steps: 2
Validate every: 1, Patience: 30
================================================================================
Epoch 042/300 | train loss 0.1264 | val loss 0.1045 | val metric 0.8601 | lr 4.096e-05 | time 385.7s | best 0.8951 at epoch 039
Epoch 043/300 | train loss 0.1183 | val loss 0.0962 | val metric 0.8740 | lr 4.096e-05 | time 385.2s | best 0.8951 at epoch 039
Epoch 044/300 | train loss 0.1134 | val loss 0.0945 | val metric 0.8929 | lr 4.096e-05 | time 385.6s | best 0.8951 at epoch 039
Epoch 045/300 | train loss 0.1127 | val loss 0.1037 | val metric 0.8553 | lr 4.096e-05 | time 385.3s | best 0.8951 at epoch 039
Epoch 046/300 | train loss 0.1064 | val loss 0.0933 | val metric 0.8891 | lr 4.096e-05 | time 385.5s | best 0.8951 at epoch 039
Epoch 047/300 | train loss 0.1114 | val loss 0.0915 | val metric 0.8803 | lr 4.096e-05 | time 386.9s | best 0.8951 at epoch 039
Epoch 048/300 | train loss 0.0984 | val loss 0.0977 | val metric 0.8532 | lr 4.096e-05 | time 385.1s | best 0.8951 at epoch 039
Epoch 049/300 | train loss 0.1073 | val loss 0.0867 | val metric 0.8928 | lr 4.096e-05 | time 384.8s | best 0.8951 at epoch 039
Epoch 050/300 | train loss 0.0995 | val loss 0.0953 | val metric 0.8745 | lr 3.2768e-05 | time 385.8s | best 0.8951 at epoch 039
Epoch 051/300 | train loss 0.0936 | val loss 0.0880 | val metric 0.8773 | lr 3.2768e-05 | time 386.4s | best 0.8951 at epoch 039
Epoch 052/300 | train loss 0.0927 | val loss 0.0875 | val metric 0.8885 | lr 3.2768e-05 | time 385.5s | best 0.8951 at epoch 039
Epoch 053/300 | train loss 0.0911 | val loss 0.0969 | val metric 0.8507 | lr 3.2768e-05 | time 385.5s | best 0.8951 at epoch 039
Epoch 054/300 | train loss 0.0918 | val loss 0.0845 | val metric 0.8807 | lr 3.2768e-05 | time 385.2s | best 0.8951 at epoch 039
Epoch 055/300 | train loss 0.0856 | val loss 0.0801 | val metric 0.8895 | lr 3.2768e-05 | time 385.3s | best 0.8951 at epoch 039
Epoch 056/300 | train loss 0.0845 | val loss 0.0878 | val metric 0.8643 | lr 3.2768e-05 | time 385.3s | best 0.8951 at epoch 039
Epoch 057/300 | train loss 0.0849 | val loss 0.0812 | val metric 0.8774 | lr 3.2768e-05 | time 385.1s | best 0.8951 at epoch 039
Epoch 058/300 | train loss 0.0830 | val loss 0.0814 | val metric 0.8821 | lr 3.2768e-05 | time 384.7s | best 0.8951 at epoch 039
Epoch 059/300 | train loss 0.0812 | val loss 0.0772 | val metric 0.8968 | lr 3.2768e-05 | time 387.9s | best 0.8968 at epoch 059
Epoch 060/300 | train loss 0.0824 | val loss 0.0795 | val metric 0.8853 | lr 2.62144e-05 | time 385.5s | best 0.8968 at epoch 059
Epoch 061/300 | train loss 0.0790 | val loss 0.0792 | val metric 0.8791 | lr 2.62144e-05 | time 386.1s | best 0.8968 at epoch 059
Epoch 062/300 | train loss 0.0792 | val loss 0.0778 | val metric 0.8844 | lr 2.62144e-05 | time 385.0s | best 0.8968 at epoch 059
Epoch 063/300 | train loss 0.0751 | val loss 0.0776 | val metric 0.8830 | lr 2.62144e-05 | time 385.5s | best 0.8968 at epoch 059
Epoch 064/300 | train loss 0.0770 | val loss 0.0837 | val metric 0.8715 | lr 2.62144e-05 | time 385.4s | best 0.8968 at epoch 059
Epoch 065/300 | train loss 0.0768 | val loss 0.0785 | val metric 0.8771 | lr 2.62144e-05 | time 385.8s | best 0.8968 at epoch 059
Epoch 066/300 | train loss 0.0761 | val loss 0.0799 | val metric 0.8922 | lr 2.62144e-05 | time 386.1s | best 0.8968 at epoch 059
Epoch 067/300 | train loss 0.0737 | val loss 0.0796 | val metric 0.8804 | lr 2.62144e-05 | time 384.9s | best 0.8968 at epoch 059
Epoch 068/300 | train loss 0.0725 | val loss 0.0808 | val metric 0.8737 | lr 2.62144e-05 | time 385.1s | best 0.8968 at epoch 059
Epoch 069/300 | train loss 0.0760 | val loss 0.0797 | val metric 0.8767 | lr 2.62144e-05 | time 385.1s | best 0.8968 at epoch 059
Epoch 070/300 | train loss 0.0696 | val loss 0.0763 | val metric 0.8992 | lr 2.09715e-05 | time 389.0s | best 0.8992 at epoch 070
Epoch 071/300 | train loss 0.0713 | val loss 0.0757 | val metric 0.9014 | lr 2.09715e-05 | time 388.4s | best 0.9014 at epoch 071
Epoch 072/300 | train loss 0.0687 | val loss 0.0776 | val metric 0.8812 | lr 2.09715e-05 | time 385.6s | best 0.9014 at epoch 071
Epoch 073/300 | train loss 0.0676 | val loss 0.0744 | val metric 0.8858 | lr 2.09715e-05 | time 385.4s | best 0.9014 at epoch 071
Epoch 074/300 | train loss 0.0672 | val loss 0.0765 | val metric 0.8979 | lr 2.09715e-05 | time 385.8s | best 0.9014 at epoch 071
Epoch 075/300 | train loss 0.0694 | val loss 0.0810 | val metric 0.8755 | lr 2.09715e-05 | time 385.4s | best 0.9014 at epoch 071
Epoch 076/300 | train loss 0.0662 | val loss 0.0729 | val metric 0.8754 | lr 2.09715e-05 | time 386.1s | best 0.9014 at epoch 071
Epoch 077/300 | train loss 0.0673 | val loss 0.0769 | val metric 0.8822 | lr 2.09715e-05 | time 385.4s | best 0.9014 at epoch 071
