Train samples: 288
Val samples:   48
Test samples:  45
[EarlyFusion2 LinearMix nnUNet] Total params: 31,190,957 (~31.19M) | Trainable: 31,190,957 (~31.19M)
Initial fusion weights: {'wet_weight': 0.5, 'dry_weight': 0.5, 'bias': 0.0}
================================================================================
Experiment directory: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/EarlyFusion2/Model
Device: cuda:0
Epochs: 300, AMP: True, Accum steps: 2
Validate every: 1, Patience: 30
================================================================================
Epoch 042/300 | train loss 0.0770 | val loss 0.0881 | val metric 0.8596 | lr 4.096e-05 | time 478.5s | best 0.8970 at epoch 026
Epoch 043/300 | train loss 0.0718 | val loss 0.0851 | val metric 0.8751 | lr 4.096e-05 | time 477.9s | best 0.8970 at epoch 026
Epoch 044/300 | train loss 0.0681 | val loss 0.0822 | val metric 0.8766 | lr 4.096e-05 | time 479.1s | best 0.8970 at epoch 026
Epoch 045/300 | train loss 0.0711 | val loss 0.0901 | val metric 0.8953 | lr 4.096e-05 | time 479.3s | best 0.8970 at epoch 026
Epoch 046/300 | train loss 0.0676 | val loss 0.0847 | val metric 0.9088 | lr 4.096e-05 | time 483.1s | best 0.9088 at epoch 046
Epoch 047/300 | train loss 0.0781 | val loss 0.0849 | val metric 0.8411 | lr 4.096e-05 | time 480.0s | best 0.9088 at epoch 046
Epoch 048/300 | train loss 0.0614 | val loss 0.0822 | val metric 0.8887 | lr 4.096e-05 | time 479.0s | best 0.9088 at epoch 046
Epoch 049/300 | train loss 0.0743 | val loss 0.0796 | val metric 0.8778 | lr 4.096e-05 | time 478.7s | best 0.9088 at epoch 046
Epoch 050/300 | train loss 0.0659 | val loss 0.0800 | val metric 0.8860 | lr 3.2768e-05 | time 480.0s | best 0.9088 at epoch 046
Epoch 051/300 | train loss 0.0611 | val loss 0.0792 | val metric 0.8650 | lr 3.2768e-05 | time 479.3s | best 0.9088 at epoch 046
Epoch 052/300 | train loss 0.0631 | val loss 0.0775 | val metric 0.8800 | lr 3.2768e-05 | time 478.6s | best 0.9088 at epoch 046
Epoch 053/300 | train loss 0.0628 | val loss 0.0790 | val metric 0.8759 | lr 3.2768e-05 | time 479.4s | best 0.9088 at epoch 046
Epoch 054/300 | train loss 0.0628 | val loss 0.0807 | val metric 0.8816 | lr 3.2768e-05 | time 479.1s | best 0.9088 at epoch 046
Epoch 055/300 | train loss 0.0564 | val loss 0.0752 | val metric 0.8706 | lr 3.2768e-05 | time 478.7s | best 0.9088 at epoch 046
Epoch 056/300 | train loss 0.0560 | val loss 0.0752 | val metric 0.8704 | lr 3.2768e-05 | time 478.5s | best 0.9088 at epoch 046
Epoch 057/300 | train loss 0.0602 | val loss 0.0776 | val metric 0.8801 | lr 3.2768e-05 | time 478.6s | best 0.9088 at epoch 046
Epoch 058/300 | train loss 0.0555 | val loss 0.0768 | val metric 0.8673 | lr 3.2768e-05 | time 478.2s | best 0.9088 at epoch 046
Epoch 059/300 | train loss 0.0558 | val loss 0.0777 | val metric 0.8764 | lr 3.2768e-05 | time 477.7s | best 0.9088 at epoch 046
Epoch 060/300 | train loss 0.0569 | val loss 0.0750 | val metric 0.8903 | lr 2.62144e-05 | time 479.4s | best 0.9088 at epoch 046
Epoch 061/300 | train loss 0.0546 | val loss 0.0750 | val metric 0.8710 | lr 2.62144e-05 | time 479.8s | best 0.9088 at epoch 046
Epoch 062/300 | train loss 0.0578 | val loss 0.0733 | val metric 0.8909 | lr 2.62144e-05 | time 479.0s | best 0.9088 at epoch 046
Epoch 063/300 | train loss 0.0510 | val loss 0.0717 | val metric 0.8963 | lr 2.62144e-05 | time 480.9s | best 0.9088 at epoch 046
Epoch 064/300 | train loss 0.0545 | val loss 0.0726 | val metric 0.8939 | lr 2.62144e-05 | time 479.5s | best 0.9088 at epoch 046
Epoch 065/300 | train loss 0.0585 | val loss 0.0835 | val metric 0.8746 | lr 2.62144e-05 | time 479.7s | best 0.9088 at epoch 046
Epoch 066/300 | train loss 0.0587 | val loss 0.0721 | val metric 0.9070 | lr 2.62144e-05 | time 479.5s | best 0.9088 at epoch 046
Epoch 067/300 | train loss 0.0540 | val loss 0.0755 | val metric 0.8964 | lr 2.62144e-05 | time 478.6s | best 0.9088 at epoch 046
Epoch 068/300 | train loss 0.0526 | val loss 0.0718 | val metric 0.8850 | lr 2.62144e-05 | time 478.9s | best 0.9088 at epoch 046
Epoch 069/300 | train loss 0.0561 | val loss 0.0712 | val metric 0.8950 | lr 2.62144e-05 | time 479.2s | best 0.9088 at epoch 046
Epoch 070/300 | train loss 0.0493 | val loss 0.0717 | val metric 0.9000 | lr 2.09715e-05 | time 479.2s | best 0.9088 at epoch 046
Epoch 071/300 | train loss 0.0518 | val loss 0.0694 | val metric 0.9050 | lr 2.09715e-05 | time 480.1s | best 0.9088 at epoch 046
Epoch 072/300 | train loss 0.0506 | val loss 0.0730 | val metric 0.9055 | lr 2.09715e-05 | time 479.8s | best 0.9088 at epoch 046
Epoch 073/300 | train loss 0.0489 | val loss 0.0717 | val metric 0.8922 | lr 2.09715e-05 | time 479.8s | best 0.9088 at epoch 046
Epoch 074/300 | train loss 0.0493 | val loss 0.0720 | val metric 0.9121 | lr 2.09715e-05 | time 483.5s | best 0.9121 at epoch 074
Epoch 075/300 | train loss 0.0560 | val loss 0.0725 | val metric 0.8835 | lr 2.09715e-05 | time 479.2s | best 0.9121 at epoch 074
Epoch 076/300 | train loss 0.0513 | val loss 0.0740 | val metric 0.8983 | lr 2.09715e-05 | time 480.0s | best 0.9121 at epoch 074
Epoch 077/300 | train loss 0.0511 | val loss 0.0689 | val metric 0.9014 | lr 2.09715e-05 | time 479.8s | best 0.9121 at epoch 074
Epoch 078/300 | train loss 0.0543 | val loss 0.0702 | val metric 0.8949 | lr 2.09715e-05 | time 480.2s | best 0.9121 at epoch 074
Epoch 079/300 | train loss 0.0527 | val loss 0.0741 | val metric 0.8898 | lr 2.09715e-05 | time 480.7s | best 0.9121 at epoch 074
Epoch 080/300 | train loss 0.0513 | val loss 0.0690 | val metric 0.9019 | lr 1.67772e-05 | time 479.4s | best 0.9121 at epoch 074
Epoch 081/300 | train loss 0.0515 | val loss 0.0676 | val metric 0.9156 | lr 1.67772e-05 | time 483.3s | best 0.9156 at epoch 081
Epoch 082/300 | train loss 0.0480 | val loss 0.0681 | val metric 0.9037 | lr 1.67772e-05 | time 479.6s | best 0.9156 at epoch 081
Epoch 083/300 | train loss 0.0591 | val loss 0.0782 | val metric 0.9048 | lr 1.67772e-05 | time 479.6s | best 0.9156 at epoch 081
Epoch 084/300 | train loss 0.0539 | val loss 0.0707 | val metric 0.9044 | lr 1.67772e-05 | time 480.2s | best 0.9156 at epoch 081
Epoch 085/300 | train loss 0.0458 | val loss 0.0689 | val metric 0.9057 | lr 1.67772e-05 | time 480.0s | best 0.9156 at epoch 081
Epoch 086/300 | train loss 0.0481 | val loss 0.0679 | val metric 0.9094 | lr 1.67772e-05 | time 479.2s | best 0.9156 at epoch 081
Epoch 087/300 | train loss 0.0503 | val loss 0.0672 | val metric 0.9115 | lr 1.67772e-05 | time 479.8s | best 0.9156 at epoch 081
Epoch 088/300 | train loss 0.0459 | val loss 0.0694 | val metric 0.9032 | lr 1.67772e-05 | time 480.3s | best 0.9156 at epoch 081
Epoch 089/300 | train loss 0.0477 | val loss 0.0673 | val metric 0.9166 | lr 1.67772e-05 | time 484.0s | best 0.9166 at epoch 089
Epoch 090/300 | train loss 0.0456 | val loss 0.0724 | val metric 0.8872 | lr 1.34218e-05 | time 479.3s | best 0.9166 at epoch 089
Epoch 091/300 | train loss 0.0450 | val loss 0.0675 | val metric 0.9072 | lr 1.34218e-05 | time 479.5s | best 0.9166 at epoch 089
Epoch 092/300 | train loss 0.0485 | val loss 0.0697 | val metric 0.9064 | lr 1.34218e-05 | time 480.0s | best 0.9166 at epoch 089
Epoch 093/300 | train loss 0.0506 | val loss 0.0690 | val metric 0.9072 | lr 1.34218e-05 | time 479.3s | best 0.9166 at epoch 089
Epoch 094/300 | train loss 0.0544 | val loss 0.0705 | val metric 0.8983 | lr 1.34218e-05 | time 480.0s | best 0.9166 at epoch 089
