Train samples: 288
Val samples:   48
Test samples:  45
[Intermediate Concat1x1 Fusion] Total params: 30,772,611 (~30.77M) | Trainable: 30,772,611 (~30.77M)
Initial fusion info: {'gamma': 0.0, 'fusion_weight_shape': (320, 640, 1, 1, 1), 'fusion_bias_shape': (320,)}
================================================================================
Experiment directory: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion2/Model
Device: cuda:0
Epochs: 300, AMP: True, Accum steps: 2
Validate every: 1, Patience: 30
================================================================================
Epoch 042/300 | train loss 0.5896 | val loss 0.6187 | val metric 0.5413 | lr 4.096e-05 | time 325.5s | best 0.7659 at epoch 041
Epoch 043/300 | train loss 0.5816 | val loss 0.5904 | val metric 0.7228 | lr 4.096e-05 | time 325.2s | best 0.7659 at epoch 041
Epoch 044/300 | train loss 0.5710 | val loss 0.5808 | val metric 0.7247 | lr 4.096e-05 | time 324.8s | best 0.7659 at epoch 041
Epoch 045/300 | train loss 0.5599 | val loss 0.5864 | val metric 0.5245 | lr 4.096e-05 | time 325.1s | best 0.7659 at epoch 041
Epoch 046/300 | train loss 0.5512 | val loss 0.5610 | val metric 0.7157 | lr 4.096e-05 | time 325.4s | best 0.7659 at epoch 041
Epoch 047/300 | train loss 0.5472 | val loss 0.5500 | val metric 0.7041 | lr 4.096e-05 | time 325.8s | best 0.7659 at epoch 041
Epoch 048/300 | train loss 0.5374 | val loss 0.5447 | val metric 0.7268 | lr 4.096e-05 | time 325.7s | best 0.7659 at epoch 041
Epoch 049/300 | train loss 0.5353 | val loss 0.5409 | val metric 0.6647 | lr 4.096e-05 | time 325.3s | best 0.7659 at epoch 041
Epoch 050/300 | train loss 0.5284 | val loss 0.5409 | val metric 0.6050 | lr 3.2768e-05 | time 325.9s | best 0.7659 at epoch 041
Epoch 051/300 | train loss 0.5212 | val loss 0.5281 | val metric 0.7187 | lr 3.2768e-05 | time 325.5s | best 0.7659 at epoch 041
Epoch 052/300 | train loss 0.5173 | val loss 0.5194 | val metric 0.6924 | lr 3.2768e-05 | time 325.0s | best 0.7659 at epoch 041
Epoch 053/300 | train loss 0.5137 | val loss 0.5250 | val metric 0.6182 | lr 3.2768e-05 | time 325.3s | best 0.7659 at epoch 041
Epoch 054/300 | train loss 0.5084 | val loss 0.5087 | val metric 0.6309 | lr 3.2768e-05 | time 324.9s | best 0.7659 at epoch 041
Epoch 055/300 | train loss 0.5004 | val loss 0.4876 | val metric 0.8205 | lr 3.2768e-05 | time 328.7s | best 0.8205 at epoch 055
Epoch 056/300 | train loss 0.4973 | val loss 0.4868 | val metric 0.6888 | lr 3.2768e-05 | time 324.9s | best 0.8205 at epoch 055
Epoch 057/300 | train loss 0.4924 | val loss 0.4692 | val metric 0.7531 | lr 3.2768e-05 | time 324.8s | best 0.8205 at epoch 055
Epoch 058/300 | train loss 0.4838 | val loss 0.4498 | val metric 0.7814 | lr 3.2768e-05 | time 324.6s | best 0.8205 at epoch 055
Epoch 059/300 | train loss 0.4580 | val loss 0.4023 | val metric 0.8154 | lr 3.2768e-05 | time 324.9s | best 0.8205 at epoch 055
Epoch 060/300 | train loss 0.4428 | val loss 0.3982 | val metric 0.7584 | lr 2.62144e-05 | time 325.1s | best 0.8205 at epoch 055
Epoch 061/300 | train loss 0.4336 | val loss 0.3886 | val metric 0.7989 | lr 2.62144e-05 | time 325.3s | best 0.8205 at epoch 055
Epoch 062/300 | train loss 0.4321 | val loss 0.3819 | val metric 0.7851 | lr 2.62144e-05 | time 325.0s | best 0.8205 at epoch 055
Epoch 063/300 | train loss 0.4249 | val loss 0.3728 | val metric 0.8136 | lr 2.62144e-05 | time 325.2s | best 0.8205 at epoch 055
Epoch 064/300 | train loss 0.4201 | val loss 0.3755 | val metric 0.7643 | lr 2.62144e-05 | time 325.2s | best 0.8205 at epoch 055
Epoch 065/300 | train loss 0.4156 | val loss 0.3662 | val metric 0.8290 | lr 2.62144e-05 | time 328.9s | best 0.8290 at epoch 065
Epoch 066/300 | train loss 0.4113 | val loss 0.3656 | val metric 0.7758 | lr 2.62144e-05 | time 325.1s | best 0.8290 at epoch 065
Epoch 067/300 | train loss 0.4075 | val loss 0.3607 | val metric 0.7449 | lr 2.62144e-05 | time 325.0s | best 0.8290 at epoch 065
Epoch 068/300 | train loss 0.4031 | val loss 0.3573 | val metric 0.7841 | lr 2.62144e-05 | time 325.3s | best 0.8290 at epoch 065
Epoch 069/300 | train loss 0.4000 | val loss 0.3556 | val metric 0.7406 | lr 2.62144e-05 | time 325.3s | best 0.8290 at epoch 065
Epoch 070/300 | train loss 0.3953 | val loss 0.3437 | val metric 0.8086 | lr 2.09715e-05 | time 325.8s | best 0.8290 at epoch 065
Epoch 071/300 | train loss 0.3875 | val loss 0.3391 | val metric 0.7870 | lr 2.09715e-05 | time 325.6s | best 0.8290 at epoch 065
Epoch 072/300 | train loss 0.3849 | val loss 0.3357 | val metric 0.8147 | lr 2.09715e-05 | time 325.8s | best 0.8290 at epoch 065
Epoch 073/300 | train loss 0.3796 | val loss 0.3314 | val metric 0.8101 | lr 2.09715e-05 | time 325.9s | best 0.8290 at epoch 065
Epoch 074/300 | train loss 0.3771 | val loss 0.3293 | val metric 0.7897 | lr 2.09715e-05 | time 325.9s | best 0.8290 at epoch 065
Epoch 075/300 | train loss 0.3738 | val loss 0.3302 | val metric 0.7785 | lr 2.09715e-05 | time 325.6s | best 0.8290 at epoch 065
Epoch 076/300 | train loss 0.3690 | val loss 0.3200 | val metric 0.7879 | lr 2.09715e-05 | time 325.4s | best 0.8290 at epoch 065
Epoch 077/300 | train loss 0.3657 | val loss 0.3204 | val metric 0.7949 | lr 2.09715e-05 | time 325.1s | best 0.8290 at epoch 065
Epoch 078/300 | train loss 0.3650 | val loss 0.3109 | val metric 0.8175 | lr 2.09715e-05 | time 325.2s | best 0.8290 at epoch 065
Epoch 079/300 | train loss 0.3620 | val loss 0.3069 | val metric 0.8540 | lr 2.09715e-05 | time 329.0s | best 0.8540 at epoch 079
Epoch 080/300 | train loss 0.3565 | val loss 0.3043 | val metric 0.7778 | lr 1.67772e-05 | time 325.4s | best 0.8540 at epoch 079
Epoch 081/300 | train loss 0.3541 | val loss 0.2997 | val metric 0.7777 | lr 1.67772e-05 | time 325.4s | best 0.8540 at epoch 079
Epoch 082/300 | train loss 0.3521 | val loss 0.3025 | val metric 0.7151 | lr 1.67772e-05 | time 325.5s | best 0.8540 at epoch 079
Epoch 083/300 | train loss 0.3488 | val loss 0.3026 | val metric 0.7688 | lr 1.67772e-05 | time 325.5s | best 0.8540 at epoch 079
Epoch 084/300 | train loss 0.3478 | val loss 0.2924 | val metric 0.8206 | lr 1.67772e-05 | time 325.5s | best 0.8540 at epoch 079
Epoch 085/300 | train loss 0.3397 | val loss 0.2914 | val metric 0.7991 | lr 1.67772e-05 | time 325.3s | best 0.8540 at epoch 079
Epoch 086/300 | train loss 0.3399 | val loss 0.2917 | val metric 0.7838 | lr 1.67772e-05 | time 325.1s | best 0.8540 at epoch 079
Epoch 087/300 | train loss 0.3375 | val loss 0.2906 | val metric 0.7566 | lr 1.67772e-05 | time 325.5s | best 0.8540 at epoch 079
Epoch 088/300 | train loss 0.3337 | val loss 0.2859 | val metric 0.8187 | lr 1.67772e-05 | time 325.3s | best 0.8540 at epoch 079
Epoch 089/300 | train loss 0.3295 | val loss 0.2818 | val metric 0.7608 | lr 1.67772e-05 | time 325.5s | best 0.8540 at epoch 079
Epoch 090/300 | train loss 0.3270 | val loss 0.2853 | val metric 0.7223 | lr 1.34218e-05 | time 325.1s | best 0.8540 at epoch 079
Epoch 091/300 | train loss 0.3228 | val loss 0.2807 | val metric 0.7790 | lr 1.34218e-05 | time 325.2s | best 0.8540 at epoch 079
Epoch 092/300 | train loss 0.3226 | val loss 0.2746 | val metric 0.7655 | lr 1.34218e-05 | time 325.4s | best 0.8540 at epoch 079
Epoch 093/300 | train loss 0.3217 | val loss 0.2753 | val metric 0.7567 | lr 1.34218e-05 | time 325.0s | best 0.8540 at epoch 079
Epoch 094/300 | train loss 0.3202 | val loss 0.2711 | val metric 0.7590 | lr 1.34218e-05 | time 325.2s | best 0.8540 at epoch 079
Epoch 095/300 | train loss 0.3185 | val loss 0.2767 | val metric 0.6765 | lr 1.34218e-05 | time 325.0s | best 0.8540 at epoch 079
Epoch 096/300 | train loss 0.3114 | val loss 0.2683 | val metric 0.7469 | lr 1.34218e-05 | time 324.8s | best 0.8540 at epoch 079
Epoch 097/300 | train loss 0.3134 | val loss 0.2659 | val metric 0.7752 | lr 1.34218e-05 | time 325.2s | best 0.8540 at epoch 079
Epoch 098/300 | train loss 0.3065 | val loss 0.2673 | val metric 0.6844 | lr 1.34218e-05 | time 325.1s | best 0.8540 at epoch 079
Epoch 099/300 | train loss 0.3081 | val loss 0.2565 | val metric 0.7756 | lr 1.34218e-05 | time 325.0s | best 0.8540 at epoch 079
Epoch 100/300 | train loss 0.3062 | val loss 0.2639 | val metric 0.7230 | lr 1.07374e-05 | time 324.9s | best 0.8540 at epoch 079
Epoch 101/300 | train loss 0.3041 | val loss 0.2593 | val metric 0.7170 | lr 1.07374e-05 | time 324.8s | best 0.8540 at epoch 079
Epoch 102/300 | train loss 0.3004 | val loss 0.2574 | val metric 0.7502 | lr 1.07374e-05 | time 324.9s | best 0.8540 at epoch 079
Epoch 103/300 | train loss 0.2985 | val loss 0.2585 | val metric 0.7334 | lr 1.07374e-05 | time 324.9s | best 0.8540 at epoch 079
Epoch 104/300 | train loss 0.2963 | val loss 0.2598 | val metric 0.6924 | lr 1.07374e-05 | time 324.9s | best 0.8540 at epoch 079
Epoch 105/300 | train loss 0.2970 | val loss 0.2526 | val metric 0.7555 | lr 1.07374e-05 | time 324.6s | best 0.8540 at epoch 079
Epoch 106/300 | train loss 0.2933 | val loss 0.2498 | val metric 0.7524 | lr 1.07374e-05 | time 324.8s | best 0.8540 at epoch 079
Epoch 107/300 | train loss 0.2922 | val loss 0.2455 | val metric 0.7408 | lr 1.07374e-05 | time 325.2s | best 0.8540 at epoch 079
Epoch 108/300 | train loss 0.2911 | val loss 0.2472 | val metric 0.7595 | lr 1.07374e-05 | time 325.2s | best 0.8540 at epoch 079
Epoch 109/300 | train loss 0.2902 | val loss 0.2445 | val metric 0.7459 | lr 1.07374e-05 | time 325.4s | best 0.8540 at epoch 079
Early stopping at epoch 109. No improvement for 30 validation checks.
================================================================================
Training finished. Best validation metric: 0.8540 at epoch 079
Best checkpoint: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion2/Model/checkpoints/best_model.pt
================================================================================
Intermediate concat plus 1x1x1 fusion training finished.
Best val metric: 0.8540 at epoch 79
Best model: /net/fs-2/scale/OrionStore/Projects/WaiKnotCT/FullData/Multimodal/Fusion/IntermediateFusion2/Model/checkpoints/best_model.pt
Final fusion info: {'gamma': -1.6436262303592934e-30, 'fusion_weight_shape': (320, 640, 1, 1, 1), 'fusion_bias_shape': (320,)}
